category,dealer,baseline,agent,count,weighted_ev_loss,share
pair 10/10,10,STAND,SPLIT,5,0.14565316340464274,0.076812
hard 11,10,DOUBLE,HIT,20,0.07282658170232138,0.038406
hard 17,10,STAND,HIT,10,0.06190259444697315,0.032645
hard 18,10,STAND,HIT,5,0.058261265361857086,0.030725
hard 19,2,STAND,DOUBLE,5,0.05461993627674102,0.028805
hard 19,6,STAND,DOUBLE,5,0.04733727810650888,0.024964
hard 19,3,STAND,DOUBLE,5,0.043695949021392816,0.023044
hard 13,2,STAND,HIT,20,0.04005461993627674,0.021123
hard 19,5,STAND,DOUBLE,5,0.036413290851160685,0.019203
hard 15,5,STAND,DOUBLE,15,0.03641329085116068,0.019203
hard 18,6,STAND,DOUBLE,5,0.03641329085116068,0.019203
hard 13,4,STAND,HIT,20,0.03095129722348657,0.016323
