category,dealer,baseline,agent,count,weighted_ev_loss,share
hard 18,10,STAND,DOUBLE,5,0.13108784706417845,0.061842
hard 19,10,STAND,DOUBLE,5,0.13108784706417845,0.061842
pair 10/10,5,STAND,DOUBLE,5,0.09467455621301776,0.044664
hard 19,2,STAND,DOUBLE,5,0.05461993627674102,0.025768
hard 16,4,STAND,DOUBLE,10,0.048247610377787915,0.022761
hard 19,6,STAND,DOUBLE,5,0.04733727810650888,0.022332
hard 16,10,HIT,DOUBLE,3,0.043695949021392816,0.020614
hard 19,3,STAND,DOUBLE,5,0.043695949021392816,0.020614
hard 13,4,STAND,DOUBLE,20,0.04096495220755576,0.019326
hard 11,10,DOUBLE,HIT,15,0.04005461993627675,0.018896
hard 15,4,STAND,DOUBLE,15,0.03823395539371873,0.018037
hard 14,10,HIT,DOUBLE,10,0.036413290851160685,0.017178
