category,dealer,baseline,agent,count,weighted_ev_loss,share
hard 15,10,HIT,STAND,10,0.03641329085116068,0.278746
hard 16,9,HIT,STAND,10,0.021847974510696408,0.167247
hard 15,7,HIT,STAND,11,0.016385980883022306,0.125436
hard 12,2,HIT,STAND,5,0.007282658170232136,0.055749
hard 5,5,HIT,DOUBLE,5,0.004551661356395086,0.034843
soft 14,2,HIT,DOUBLE,5,0.003641329085116068,0.027875
hard 13,7,HIT,STAND,5,0.003641329085116068,0.027875
pair 4/4,4,HIT,SPLIT,5,0.003641329085116068,0.027875
hard 12,4,STAND,HIT,5,0.003641329085116068,0.027875
hard 13,3,STAND,HIT,5,0.003641329085116068,0.027875
soft 17,3,HIT,DOUBLE,5,0.002730996813837051,0.020906
hard 6,5,HIT,DOUBLE,5,0.002730996813837051,0.020906
hard 9,3,DOUBLE,HIT,10,0.002730996813837051,0.020906
hard 9,7,HIT,DOUBLE,5,0.002730996813837051,0.020906
hard 12,4,STAND,DOUBLE,5,0.002730996813837051,0.020906
