category,dealer,baseline,agent,count,weighted_ev_loss,share
hard 12,10,HIT,STAND,6,0.08739189804278563,0.108597
hard 11,10,DOUBLE,HIT,17,0.05461993627674102,0.067873
soft 17,10,HIT,DOUBLE,5,0.021847974510696408,0.027149
hard 11,3,DOUBLE,HIT,15,0.019116977696859355,0.023756
pair 4/4,10,HIT,SPLIT,5,0.018206645425580342,0.022624
hard 10,3,DOUBLE,HIT,13,0.017296313154301322,0.021493
hard 11,7,DOUBLE,HIT,20,0.016385980883022306,0.020362
hard 13,A,HIT,DOUBLE,12,0.016385980883022306,0.020362
pair 9/9,10,STAND,SPLIT,5,0.016385980883022302,0.020362
hard 11,2,DOUBLE,HIT,20,0.014565316340464273,0.018100
hard 15,10,HIT,STAND,9,0.014565316340464273,0.018100
hard 14,A,HIT,STAND,2,0.014565316340464271,0.018100
