category,dealer,baseline,agent,count,weighted_ev_loss,share
hard 12,10,HIT,STAND,20,0.08375056895766957,0.083070
hard 14,10,HIT,STAND,15,0.043695949021392816,0.043341
hard 11,10,DOUBLE,STAND,20,0.036413290851160685,0.036117
hard 11,6,DOUBLE,STAND,20,0.030951297223486583,0.030700
hard 12,7,HIT,STAND,20,0.030040964952207556,0.029797
hard 15,10,HIT,STAND,15,0.021847974510696408,0.021670
hard 16,9,HIT,STAND,10,0.021847974510696408,0.021670
hard 12,9,HIT,STAND,20,0.02093764223941739,0.020767
hard 11,3,DOUBLE,STAND,20,0.02002730996813837,0.019865
hard 11,4,DOUBLE,STAND,20,0.02002730996813837,0.019865
hard 10,4,DOUBLE,STAND,15,0.019116977696859355,0.018962
hard 11,A,DOUBLE,STAND,16,0.018206645425580342,0.018059
