category,dealer,baseline,agent,mistakes,weighted_share
hard 10,10,HIT,DOUBLE,12,0.154093
hard 14,2,STAND,HIT,10,0.070626
hard 12,2,HIT,STAND,12,0.067416
hard 15,3,STAND,HIT,8,0.054575
hard 12,3,HIT,STAND,6,0.038523
hard 13,2,STAND,HIT,6,0.038523
hard 15,2,STAND,HIT,7,0.032103
hard 16,2,STAND,HIT,4,0.032103
hard 16,6,STAND,HIT,4,0.032103
hard 14,3,STAND,HIT,5,0.025682
hard 16,3,STAND,HIT,5,0.025682
hard 13,3,STAND,HIT,2,0.025682
hard 15,6,STAND,HIT,4,0.022472
soft 13,4,HIT,DOUBLE,5,0.016051
soft 15,4,HIT,DOUBLE,5,0.016051
