p1,p2,dealer,category,avg_think_claude-sonnet-4-20250514-thinking,avg_think_gemini-2-5-flash-thinking,avg_think_gpt-5-med-thinking,avg_think_gpt-5-nano-med-thinking,n_claude-sonnet-4-20250514-thinking,n_gemini-2-5-flash-thinking,n_gpt-5-med-thinking,n_gpt-5-nano-med-thinking
2,8,10,hard 10,762.2,1068.0,607.0,2134.6,5,5,5,5
3,7,10,hard 10,596.2,1106.5,241.8,1845.2,4,4,4,4
4,6,10,hard 10,667.6,1037.2,685.8,2352.0,5,5,5,5
2,8,2,hard 10,778.2,969.0,361.0,1453.0,5,5,5,5
3,7,2,hard 10,639.0,1237.4,184.6,1764.4,5,5,5,5
4,6,2,hard 10,661.4,1020.8,359.4,1112.8,5,5,5,5
2,8,3,hard 10,617.4,743.0,160.0,1924.4,5,5,5,5
3,7,3,hard 10,589.2,810.4,346.8,1012.2,5,5,5,5
4,6,3,hard 10,718.6,827.2,174.8,967.0,5,5,5,5
2,8,4,hard 10,868.8,778.4,535.4,1021.6,5,5,5,5
3,7,4,hard 10,610.4,1078.6,176.8,1288.8,5,5,5,5
4,6,4,hard 10,688.2,743.0,246.2,1077.4,5,5,5,5
2,8,5,hard 10,863.8,985.2,252.4,1408.6,5,5,5,5
3,7,5,hard 10,705.6,1183.2,92.4,1506.2,5,5,5,5
4,6,5,hard 10,758.0,1184.2,239.8,890.2,5,5,5,5
2,8,6,hard 10,784.2,950.0,221.6,1370.6,5,5,5,5
3,7,6,hard 10,577.0,1105.0,246.8,1392.8,5,5,5,5
4,6,6,hard 10,695.0,713.4,247.8,1359.8,5,5,5,5
2,8,7,hard 10,795.8,1356.8,175.4,1557.6,5,5,5,5
3,7,7,hard 10,640.4,1089.8,172.8,1382.6,5,5,5,5
4,6,7,hard 10,675.0,667.2,91.6,1587.0,5,5,5,5
2,8,8,hard 10,645.0,886.4,260.2,1942.6,5,5,5,5
3,7,8,hard 10,779.8,1015.6,515.8,1898.8,5,5,5,5
4,6,8,hard 10,724.8,920.8,95.8,2088.6,5,5,5,5
2,8,9,hard 10,786.0,840.0,351.6,828.6,5,5,5,5
3,7,9,hard 10,698.6,844.2,338.6,1879.2,5,5,5,5
4,6,9,hard 10,697.0,1195.2,457.0,1181.8,5,5,5,5
2,8,A,hard 10,790.8,1261.2,861.0,1945.8,4,4,4,4
3,7,A,hard 10,870.0,1358.5,887.5,2003.5,2,2,2,2
4,6,A,hard 10,723.5,1093.5,1664.0,1834.5,2,2,2,2
2,9,10,hard 11,931.6,1000.6,614.8,1073.8,5,5,5,5
3,8,10,hard 11,907.2,805.4,529.8,1189.4,5,5,5,5
4,7,10,hard 11,853.6,1248.2,721.2,604.8,5,5,5,5
5,6,10,hard 11,800.6,945.6,463.4,625.4,5,5,5,5
2,9,2,hard 11,742.4,1052.2,457.6,718.6,5,5,5,5
3,8,2,hard 11,814.2,1068.4,550.8,1064.4,5,5,5,5
4,7,2,hard 11,716.2,1170.4,443.8,1081.6,5,5,5,5
5,6,2,hard 11,742.0,1058.2,403.8,650.6,5,5,5,5
2,9,3,hard 11,773.6,1008.2,457.2,1178.8,5,5,5,5
3,8,3,hard 11,759.0,1087.6,349.2,1109.6,5,5,5,5
4,7,3,hard 11,728.4,654.4,558.2,725.2,5,5,5,5
5,6,3,hard 11,746.6,863.6,586.8,1213.4,5,5,5,5
2,9,4,hard 11,667.0,885.2,176.2,942.0,5,5,5,5
3,8,4,hard 11,722.6,1236.6,271.4,901.2,5,5,5,5
4,7,4,hard 11,823.6,1042.4,612.0,701.6,5,5,5,5
5,6,4,hard 11,668.6,1036.2,342.0,943.8,5,5,5,5
2,9,5,hard 11,534.2,1015.6,543.4,677.8,5,5,5,5
3,8,5,hard 11,702.2,985.8,719.6,788.8,5,5,5,5
4,7,5,hard 11,640.4,1023.8,473.2,739.6,5,5,5,5
5,6,5,hard 11,718.0,997.6,541.6,723.8,5,5,5,5
2,9,6,hard 11,705.0,962.2,344.4,638.2,5,5,5,5
3,8,6,hard 11,664.8,1118.0,267.4,174.8,5,5,5,5
4,7,6,hard 11,596.2,1160.8,310.2,692.0,5,5,5,5
5,6,6,hard 11,680.4,1114.8,179.6,686.8,5,5,5,5
2,9,7,hard 11,739.6,1115.8,811.8,934.8,5,5,5,5
3,8,7,hard 11,741.8,1019.2,430.0,846.0,5,5,5,5
4,7,7,hard 11,810.8,942.6,525.0,766.4,5,5,5,5
5,6,7,hard 11,720.2,1152.2,263.2,1743.0,5,5,5,5
2,9,8,hard 11,849.8,1026.0,334.0,1963.0,5,5,5,5
3,8,8,hard 11,852.6,1490.6,1054.2,1302.4,5,5,5,5
4,7,8,hard 11,969.2,898.4,424.6,1139.2,5,5,5,5
5,6,8,hard 11,753.4,1114.6,551.2,1396.6,5,5,5,5
2,9,9,hard 11,793.0,997.6,91.4,1071.6,5,5,5,5
3,8,9,hard 11,1029.4,1361.4,87.4,759.6,5,5,5,5
4,7,9,hard 11,843.2,1280.4,431.8,973.4,5,5,5,5
5,6,9,hard 11,729.4,972.6,390.6,1061.2,5,5,5,5
2,9,A,hard 11,1047.0,1036.3,1057.0,951.3,3,3,3,3
3,8,A,hard 11,780.2,1349.5,933.2,2151.8,4,4,4,4
5,6,A,hard 11,798.3,1347.7,2023.3,2333.3,3,3,3,3
2,10,10,hard 12,765.4,944.6,367.2,1319.0,5,5,5,5
3,9,10,hard 12,896.2,1408.4,436.8,1780.6,5,5,5,5
4,8,10,hard 12,709.8,1173.2,192.6,1862.2,5,5,5,5
5,7,10,hard 12,652.6,910.0,86.0,1008.6,5,5,5,5
2,10,2,hard 12,817.4,934.6,354.4,1896.2,5,5,5,5
3,9,2,hard 12,712.4,990.4,892.8,1765.4,5,5,5,5
4,8,2,hard 12,825.2,1097.2,549.0,997.0,5,5,5,5
5,7,2,hard 12,796.0,1295.6,482.0,1640.6,5,5,5,5
2,10,3,hard 12,814.6,956.4,739.4,1604.2,5,5,5,5
3,9,3,hard 12,938.2,791.0,1515.0,1075.4,5,5,5,5
4,8,3,hard 12,729.2,1083.0,1645.6,1636.2,5,5,5,5
5,7,3,hard 12,768.8,914.4,1418.0,1716.2,5,5,5,5
2,10,4,hard 12,731.4,1016.0,1873.0,1552.6,5,5,5,5
3,9,4,hard 12,905.8,1077.6,1425.8,1650.8,5,5,5,5
4,8,4,hard 12,834.6,1095.6,1702.6,2105.4,5,5,5,5
5,7,4,hard 12,700.8,1070.8,1360.6,1434.4,5,5,5,5
2,10,5,hard 12,598.2,1295.0,873.4,1930.6,5,5,5,5
3,9,5,hard 12,791.6,1038.6,783.2,1848.0,5,5,5,5
4,8,5,hard 12,784.8,1221.8,859.4,1194.4,5,5,5,5
5,7,5,hard 12,823.4,1251.8,967.4,1546.8,5,5,5,5
2,10,6,hard 12,675.4,1058.4,749.4,1505.8,5,5,5,5
3,9,6,hard 12,707.0,633.4,277.0,2128.0,5,5,5,5
4,8,6,hard 12,790.8,1041.8,605.8,1025.0,5,5,5,5
5,7,6,hard 12,1023.8,1527.0,588.0,1373.0,5,5,5,5
2,10,7,hard 12,854.6,1056.2,312.8,1360.8,5,5,5,5
3,9,7,hard 12,873.6,1235.6,167.8,1330.6,5,5,5,5
4,8,7,hard 12,861.2,1034.8,248.6,626.0,5,5,5,5
5,7,7,hard 12,604.8,1212.4,92.4,1085.8,5,5,5,5
2,10,8,hard 12,892.6,1163.2,97.8,960.8,5,5,5,5
3,9,8,hard 12,918.6,1031.6,427.2,1047.4,5,5,5,5
4,8,8,hard 12,667.8,848.6,76.0,1671.8,5,5,5,5
5,7,8,hard 12,836.6,903.8,84.4,757.4,5,5,5,5
2,10,9,hard 12,793.2,966.8,343.8,1247.2,5,5,5,5
3,9,9,hard 12,811.8,994.0,170.4,1679.4,5,5,5,5
