category,dealer,baseline,agent,mistakes,weighted_share
pair 10/10,10,STAND,SPLIT,5,0.074057
hard 17,10,STAND,HIT,10,0.046286
hard 18,10,STAND,HIT,5,0.037028
hard 11,10,DOUBLE,HIT,20,0.037028
pair 10/10,2,STAND,SPLIT,5,0.018514
hard 13,2,STAND,HIT,20,0.016200
hard 13,3,STAND,HIT,20,0.016200
hard 13,4,STAND,HIT,20,0.016200
hard 14,2,STAND,HIT,15,0.013886
hard 14,3,STAND,HIT,15,0.013886
hard 14,4,STAND,HIT,15,0.013886
hard 14,5,STAND,DOUBLE,15,0.013886
hard 15,5,STAND,DOUBLE,15,0.013886
hard 13,5,STAND,DOUBLE,18,0.012497
hard 12,5,STAND,DOUBLE,10,0.011571
